"model","horizon_s","metric","mean_m","sample_std_m","seed_count"
"PatchTST","256","rmse_cart_m","62015.43638452821","1562.0855841667685","3"
"iTransformer","32","ade","1772.6960602439838","9.005670450591849","3"
"iTransformer","32","fde","1963.868690562597","72.51170918599004","3"
"iTransformer","32","rmse_cart_m","1241.5277012879299","7.112967591594845","3"
"iTransformer","64","ade","2041.3844082940116","37.604091812793925","3"
"iTransformer","64","fde","2710.062411845653","47.28517685678807","3"
"iTransformer","64","rmse_cart_m","1440.3717109072322","15.264240878422981","3"
"iTransformer","128","ade","3002.426102239553","93.48753397125856","3"
"iTransformer","128","fde","5549.739144897853","221.45474448000726","3"
"iTransformer","128","rmse_cart_m","2292.389433361671","50.91480233017513","3"
"iTransformer","256","ade","7058.9733329523","157.39406738205213","3"
"iTransformer","256","fde","18060.547391520773","238.51733849042725","3"
"iTransformer","256","rmse_cart_m","6546.139599095629","103.16899637043353","3"
