experiment,phase,seed,eval_protocol,eval_ar_seed_mode,train_supervision_protocol,optimizer_profile,strict_repro_mode,scenario_type,scenario_value,model,horizon,metric,value
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,128,mae_mean,0.2911316337995231
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,128,mae_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,128,fde_mean,492548.86279296875
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,128,fde_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,128,ade_mean,334745.7744140625
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,128,ade_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,256,mse_mean,0.23729781922884285
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,256,mse_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,256,mae_mean,0.2911316337995231
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,256,mae_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,256,fde_mean,492548.86279296875
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,256,fde_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,256,ade_mean,334745.7744140625
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,256,ade_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,32,mse_mean,0.11171662510605529
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,32,mse_std,0.0012946065398864448
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,32,mae_mean,0.21714559162501246
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,32,mae_std,0.0035704519832506776
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,32,fde_mean,200699.2041015625
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,32,fde_std,8928.486572265625
